Entropy,Success
6.9453683,1
5.0923753,1
4.784938,1
2.733576,1
0.33266103,1
4.253848,1
2.2971084,1
4.9635096,1
4.65508,1
3.7632086,1
4.3436,1
7.7035985,1
6.1520495,1
7.9410577,1
6.9004626,1
4.5095134,1
4.305793,1
3.3926787,1
5.034057,1
6.2176785,1
0.14282885,1
2.6977835,1
4.5646234,1
8.822814,0
7.6568646,0
7.9737735,0
8.427876,0
6.0724387,0
3.2634766,0
3.356309,0
5.8750596,0
5.1242356,0
6.1247463,0
6.6855364,0
2.8727212,0
4.576127,0
5.237392,0
7.4923725,0
6.4739623,0
6.810685,0
4.765199,0
4.936506,0
6.244123,0
3.6353495,0
4.98888,0
5.4591274,0
5.6864157,0
3.5365987,0
2.988389,0
4.2521825,0
4.410606,0
2.640002,0
1.991948,0
0.91275376,0
1.5921782,0
1.0035129,0
2.6521063,0
1.4785516,0
1.1300206,0
1.0336256,0
2.392704,0
2.8157344,0
1.3439605,0
2.1989331,0
9.027888,0
7.5478463,0
6.128003,0
7.9738965,0
5.50863,0
4.055305,0
4.097851,0
5.4817395,0
4.0379434,0
8.32472,0
5.0889645,0
3.8784828,0
5.913722,0
1.1888459,0
6.904046,0
3.4367177,0
5.4355016,0
2.5636306,0
4.477141,0
2.2075753,0
2.1786613,0
4.533208,0
4.930546,0
5.109576,0
4.4405575,0
4.2926817,0
5.0245314,0
3.8665216,0
5.370312,0
4.4396157,0
4.576748,0
4.1466274,0
7.39248,0
5.098185,0
3.6189678,0
5.179273,0
3.4858541,0
3.1844473,0
4.6559544,0
4.8096538,0
4.254775,0
8.550888,1
4.5655665,1
6.174977,1
3.3577728,1
4.540318,1
3.6248043,1
4.2453375,1
5.2734942,1
5.414316,1
8.540101,1
10.298979,1
9.529814,1
7.278797,1
5.2266035,1
8.07254,1
7.1669903,1
2.6474757,1
7.140284,1
4.536848,1
5.2537313,1
5.3033633,1
9.502349,0
11.397183,0
7.694759,0
4.555345,0
7.8437676,0
7.0353804,0
8.732072,0
8.085031,0
9.487136,0
9.06397,0
12.155141,0
7.525464,0
9.060881,0
14.850504,0
10.511327,0
4.5217047,0
1.114847,0
7.746347,0
6.533063,0
5.1294703,0
6.4175863,0
4.162213,0
7.2133183,0
7.2151475,0
7.9336333,0
7.640981,0
6.136434,0
6.96768,0
8.242997,0
5.227119,0
4.023159,0
6.871628,0
4.474559,0
4.760536,0
5.392814,0
3.8270078,0
5.239609,0
8.116971,0
8.745669,0
7.943002,0
9.002911,0
5.614518,0
4.997558,0
8.070721,0
6.9630795,0
14.431014,0
8.976267,0
6.741997,0
10.939806,0
6.7399864,0
11.215552,0
7.7704263,0
8.284746,0
5.9845123,0
7.167759,0
6.429279,0
6.4303284,0
7.228219,0
9.338988,0
4.204251,0
6.7541065,0
10.099993,0
7.2008023,0
12.14973,0
7.922935,0
9.679587,0
5.0635266,0
10.701254,0
6.564,0
5.8432574,0
4.2225327,0
10.066369,0
6.100022,0
6.37527,0
12.384092,0
9.253439,0
7.9628267,0
8.910623,0
5.9461107,0
8.391122,0
6.543333,0
9.062738,0
8.346802,0
11.196825,0
8.736288,0
6.6007957,0
6.9194436,0
7.6355896,0
7.493176,0
6.0463476,0
9.292522,0
5.0691724,0
5.627398,0
3.9803464,0
9.272408,0
2.504257,0
10.775787,0
8.292743,0
7.432884,0
5.320608,0
9.939243,0
8.95658,0
6.085918,0
10.961144,0
5.6451945,0
6.821288,0
10.137052,0
4.2916455,0
5.741488,0
7.0675774,0
9.094652,0
7.1283817,0
6.1317034,0
5.7287116,0
6.2928133,0
3.5169516,0
4.816409,0
2.5155098,0
3.0767868,0
1.4954673,0
2.4643574,0
4.521393,0
5.8084197,0
4.097857,1
2.2984948,1
2.8024108,1
5.9690323,1
3.066112,1
1.1466053,1
4.0679617,1
5.308764,1
9.529571,1
3.5177407,1
4.162482,1
6.3028684,1
4.195012,1
6.34441,1
11.044876,1
7.847016,1
5.395612,1
3.766081,1
3.6473408,1
4.6319036,1
3.352937,1
3.9667797,1
5.235378,1
7.7155123,0
4.0578475,0
7.280304,0
7.0717983,0
5.9235954,0
4.4413695,0
7.085168,0
3.637015,0
7.9047213,0
8.054905,0
5.2282915,0
1.4245622,0
7.238194,0
5.4619846,0
5.1232038,0
7.505099,0
4.6702013,0
7.4365506,0
3.1130722,0
5.6795278,0
1.9930048,0
1.9633975,0
3.6533983,0
2.0701172,0
2.8383713,0
4.013599,0
3.5124915,0
3.1920283,0
2.883787,0
2.167959,0
3.3941426,0
2.5702853,0
2.4016943,0
2.026488,0
2.214324,0
3.6915658,0
3.6241977,0
0.79720837,0
3.178284,0
2.973457,0
3.6762068,0
3.1783333,1
9.110121,1
5.4850016,1
5.3970823,1
4.8061876,1
2.9445477,1
3.6832523,1
9.471336,1
7.364504,1
6.3043885,1
2.1010525,1
6.471333,1
4.2316403,1
2.3469167,1
3.3670092,1
2.029784,1
1.3793955,1
3.0917528,1
2.503399,1
2.2037401,1
1.2253581,1
3.143149,1
2.2416945,1
3.6506994,1
5.220539,1
9.008383,0
10.484024,0
5.4428387,0
4.8553605,0
5.7338443,0
2.4787812,0
7.935341,0
6.3624234,0
9.994961,0
4.930098,0
10.1545515,0
7.601717,0
5.9690857,0
7.2443438,0
5.8186555,0
4.9354606,0
8.056942,0
6.1951175,0
7.017826,0
5.790314,0
2.4402833,0
9.476475,0
4.4792614,0
8.853049,0
4.7698793,0
9.229913,0
5.3557496,0
5.8428774,0
4.2016196,0
4.9322214,0
8.804615,0
5.7361765,0
6.7550116,0
7.559378,0
5.6713595,0
2.818032,0
8.720634,0
4.8064156,0
11.906733,0
8.422705,0
10.210234,0
10.994927,0
8.086095,0
5.582477,0
8.222694,0
15.203107,0
2.872695,0
8.746795,0
9.959235,0
10.498822,0
7.395929,0
8.68538,0
8.164253,0
8.601857,0
5.328598,0
9.975379,0
4.746928,0
3.6521595,0
5.6583385,0
11.040842,0
5.784382,0
6.2916913,0
5.4974017,0
6.573629,0
5.8529353,0
5.7325354,0
6.267928,0
8.484402,0
7.1598525,0
4.988603,0
10.669561,0
7.244428,0
6.8399186,0
5.837134,0
5.472365,0
5.565374,0
9.75844,0
