Entropy,Success
3.9777837,1
3.4394798,1
2.8804262,1
2.9161406,1
3.3004413,1
3.9865508,1
4.0045013,1
5.085799,1
5.3235073,1
5.980703,1
6.6081533,1
6.641336,1
5.9617753,1
5.409901,1
4.828501,1
4.691944,1
3.8186069,1
3.4970055,1
3.7313943,1
7.7907534,0
6.6788855,0
5.818775,0
5.399032,0
4.7383037,0
4.748765,0
5.433177,0
5.3364596,0
5.076673,0
5.099305,0
5.37283,0
5.330515,0
6.118108,0
6.1559224,0
6.095745,0
5.846095,0
5.278373,0
4.9140115,0
5.0527973,0
5.2027793,0
4.661274,0
4.531882,0
4.384543,0
4.1748385,0
3.5655556,0
3.2566254,0
2.8414986,0
2.3094976,0
1.6280788,0
1.6304998,0
1.5278206,0
1.5712739,0
1.4595634,0
1.7374016,0
1.770127,0
1.7432091,0
1.9569916,0
7.2372527,0
6.242736,0
5.552737,0
5.4234843,0
4.6362934,0
5.1995115,0
5.4062433,0
5.36237,0
5.448766,0
4.8789473,0
4.594812,0
4.2643633,0
4.5757666,0
3.9057484,0
4.5634074,0
3.624113,0
3.3725019,0
3.192043,0
3.6654263,0
3.7919135,0
4.2385097,0
4.6613135,0
4.7595787,0
4.546774,0
4.598921,0
4.5987325,0
4.6555457,0
4.4799647,0
5.1851563,0
5.1307306,0
4.9666014,0
5.0871067,0
4.9549522,0
4.113345,0
4.0248995,0
4.2630363,0
4.0781374,0
5.4379044,1
4.4526873,1
4.3886414,1
4.2083454,1
4.619654,1
5.4196105,1
6.754445,1
7.8113413,1
8.212401,1
8.174859,1
8.0813465,1
7.4549484,1
6.0784817,1
6.0507784,1
5.9128275,1
5.349066,1
4.9763403,1
8.198681,0
7.705287,0
7.172265,0
7.250319,0
8.236677,0
8.480718,0
9.504669,0
9.263348,0
9.458517,0
10.531192,0
10.8206625,0
9.293977,0
8.011852,0
7.748946,0
6.085458,0
5.0090866,0
5.3882627,0
5.9977355,0
5.89113,0
6.027547,0
6.58838,0
6.833059,0
7.227903,0
7.178775,0
7.384345,0
6.843042,0
6.1194777,0
6.2665167,0
5.7678924,0
5.0714006,0
5.1045394,0
5.065309,0
4.738905,0
5.467387,0
6.2644143,0
6.7744513,0
7.809633,0
8.015378,0
8.687727,0
9.036615,0
9.610433,0
9.565813,0
8.922722,0
8.681554,0
8.990103,0
7.999045,0
8.0845995,0
7.1273446,0
6.8593245,0
6.6480193,0
7.318915,0
6.726213,0
6.7911787,0
7.525111,0
7.519628,0
8.081777,0
8.825514,0
9.410609,0
8.4033165,0
9.103406,0
7.9862604,0
7.5703254,0
6.4789147,0
7.479483,0
6.559236,0
6.5214906,0
7.829657,0
8.835838,0
8.41513,0
8.97725,0
8.8914175,0
8.092824,0
7.5508027,0
7.7707853,0
8.360031,0
8.217789,0
7.4770584,0
6.93907,0
7.4774156,0
7.107362,0
6.705724,0
6.0031576,0
6.648369,0
5.2907166,0
6.432039,0
6.9651084,0
7.655616,0
6.865256,0
8.352254,0
7.988412,0
7.5470467,0
8.252699,0
8.317616,0
7.6940255,0
7.9301195,0
7.5712647,0
6.5273337,0
6.8118105,0
7.2664824,0
6.664749,0
7.0327606,0
7.030205,0
6.8752527,0
5.759712,0
5.2973185,0
4.574079,0
4.043694,0
3.084225,0
2.873706,0
2.8147027,0
3.473285,0
3.6467814,1
3.056531,1
3.4104245,1
3.911695,1
4.623803,1
4.7141285,1
5.3173037,1
5.764285,1
5.5415344,1
4.904503,1
6.4099298,1
7.1468368,1
6.9653845,1
6.879599,1
6.3401847,1
5.0575905,1
4.158775,1
3.8730083,1
4.1668677,1
6.4098115,0
5.754983,0
6.360447,0
5.631789,0
5.798374,0
6.2246356,0
6.38202,0
5.249899,0
5.9701347,0
5.4815874,0
4.8952475,0
5.3506083,0
5.999736,0
6.0394073,0
5.569625,0
5.68089,0
4.578471,0
4.037111,0
3.2804801,0
3.0718892,0
2.5036578,0
2.9077766,0
3.2175953,0
3.1253211,0
3.2880554,0
3.153973,0
3.0300815,0
2.8416405,0
2.6835737,0
2.512114,0
2.5213869,0
2.5808713,0
2.791654,0
2.470757,0
2.701116,0
2.8529427,0
2.849871,0
5.5953455,1
5.5485883,1
4.4632144,1
5.2604814,1
5.6539655,1
5.9536057,1
5.784907,1
6.3425226,1
5.2945833,1
4.291066,1
3.7035904,1
3.6893368,1
2.6709492,1
2.4429717,1
2.4742682,1
2.2416143,1
2.080729,1
2.4334798,1
2.263468,1
2.4929283,1
3.096288,1
7.10489,0
5.7989697,0
5.289233,0
5.47315,0
6.5010695,0
6.3403206,0
7.8754745,0
7.808749,0
7.7300825,0
7.1799593,0
7.357671,0
6.313853,0
6.404898,0
6.4501038,0
6.4048004,0
6.3991323,0
5.9000964,0
6.184003,0
5.8408318,0
6.2078767,0
6.0037894,0
7.361715,0
6.537571,0
6.8102937,0
5.8800077,0
5.9124765,0
5.827417,0
5.903502,0
6.085929,0
6.7574806,0
6.905308,0
5.7079916,0
6.304883,0
5.915164,0
6.7846346,0
7.3349037,0
8.813344,0
9.61786,0
7.9934134,0
8.125554,0
9.000906,0
9.456131,0
7.8946943,0
9.057232,0
8.940724,0
8.669249,0
7.6352034,0
8.1510935,0
7.3634033,0
6.4609847,0
5.8722806,0
7.0147295,0
6.17653,0
6.4854827,0
6.8545313,0
7.037589,0
6.000008,0
5.9896383,0
5.984886,0
6.582286,0
6.69953,0
6.526664,0
7.5140696,0
7.7093697,0
7.3804727,0
7.1159296,0
7.212682,0
6.191844,0
6.6946464,0
6.2146745,0
6.830549,0
6.7597504,0
6.5895386,0
6.4476194,0
6.8210993,0
6.902926,0
6.673899,0
6.729554,0
6.9647713,0
6.3726444,0
6.2206855,0
6.1609845,0
6.960551,0
7.7216935,0
8.341799,0
8.664612,0
9.206219,0
8.913736,0
7.657701,0
7.889871,0
7.883528,0
8.247518,0
8.179933,0
9.175392,0
8.997875,0
9.035989,0
8.899063,0
9.676325,0
9.35154,0
8.8772335,0
8.540068,0
7.4676027,0
6.134445,0
6.2720847,0
6.9027405,0
6.73881,0
6.684123,0
6.7743926,0
6.549179,0
5.8248816,0
5.862948,0
8.192228,0
7.919347,0
7.894674,0
7.7088804,0
8.063017,0
8.778171,0
9.195994,0
9.491481,0
9.846437,0
9.952148,0
8.899477,0
9.115194,0
9.309699,0
9.822101,0
8.841635,0
9.180186,0
7.973481,0
7.0436907,0
5.9714403,0
6.3120327,0
5.7990212,0
7.200902,0
8.193239,0
8.192321,0
8.330175,0
8.173368,0
7.932181,0
7.469455,0
7.568058,0
7.5492296,0
8.402722,0
8.064448,0
8.2275715,0
8.191665,0
8.656752,0
8.479334,0
8.076712,0
4.7210455,0
4.9071894,0
5.636116,0
5.6215873,0
5.751408,0
5.5026484,0
5.9904094,0
6.8639693,0
7.2774963,0
7.851014,0
7.8601203,0
7.564982,0
7.162061,0
7.7152414,0
7.483027,0
6.8275084,0
7.657907,0
7.0923567,0
6.304311,0
6.3712864,0
6.7180505,0
5.86888,0
6.181227,0
6.278229,0
6.2309175,0
6.8667235,0
7.242793,0
7.2806044,0
6.907992,0
6.958448,0
6.198781,0
5.570554,0
6.0548763,0
6.666555,0
6.374115,0
6.6164346,0
6.8625727,0
4.401759,0
4.750183,0
5.0859666,0
5.769253,0
5.963639,0
6.299909,0
6.109275,0
6.300999,0
7.199992,0
7.8909483,0
8.541789,0
8.429651,0
9.838892,0
9.077342,0
9.188609,0
8.27097,0
8.83359,0
8.264534,0
7.581155,0
6.446508,0
6.1577897,0
5.715289,0
4.8933344,0
5.1333184,0
5.529737,0
6.365523,0
7.161233,0
7.5156846,0
8.195405,0
9.05712,0
8.41744,0
7.3416657,0
7.274295,0
6.5477157,0
6.371204,0
6.377999,0
6.8576202,0
7.7014213,0
7.230438,0
6.154625,0
5.747154,0
5.954108,0
5.440936,0
5.8458433,0
5.865049,0
6.490363,0
6.2636213,0
6.2377405,0
6.711216,0
6.8357725,0
7.2305,0
7.144468,0
7.133864,0
7.066729,0
6.9930253,0
6.6178446,0
6.482239,0
6.521033,0
6.895552,0
7.194346,0
7.7670126,0
8.379916,0
